Reference,Publication year,Ecosystem component (detailed),Ecosystem component (simplified),Thema (detailed),Thema (simplified),Trait label (original),Trait label (standardised),
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Mobility,Behaviour,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Movement method,Behaviour,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Mean size,Body size,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Environmental position,Burrowing depth,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Larval type,Early development,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Sediment transportation,Engineering,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Body design,Morph./Anat./Phys.,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Resource capture method,Morph./Anat./Phys.,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Living habit,Motility,
"Aarnio K., Mattila J., Törnroos A., Bonsdorff E., 2011. Zoobenthos as an environmental quality element: the ecological signi?cance of sampling design and functional traits. Marine Ecology 32:58–71.",2011,Benthic invertebrate,Benthic invertebrate,Methodology,Other,Feeding habit,Trophy,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Biomass,Body size,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Oral gape surface,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Oral gape shape,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Oral gape position,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Protrusion,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Gill raker length,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Eye size,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Eye position,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Body transversal shape,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Body transversal surface,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Pectoral fin position,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Caudal peduncle throttling,Morph./Anat./Phys.,
"Albouy C., Guilhaumon F., Villéger S., Mouchet M., Mercier L., Culioli J.M., Tomasini J.A., Le Loc’h F., Mouillot D., 2011. Predicting trophic guild and diet overlap from functional traits: statistics, opportunities and limitations for marine ecology. Marine Ecology Progress Series 436:17–28.",2011,Fish,Fish,FD,Other,Gut length,Morph./Anat./Phys.,
"Batista J., Martinho F., Nyitrai D., Pardal M.A., Dolbeth M., 2015. Long-term functional changes in an estuarine ?sh assemblage. Marine Pollution Bulletin 97:125–134.",2015,Fish,Fish,Distribution,Other,Size,Body size,
"Batista J., Martinho F., Nyitrai D., Pardal M.A., Dolbeth M., 2015. Long-term functional changes in an estuarine ?sh assemblage. Marine Pollution Bulletin 97:125–134.",2015,Fish,Fish,Distribution,Other,Vertical distribution,Habitat,
"Batista J., Martinho F., Nyitrai D., Pardal M.A., Dolbeth M., 2015. Long-term functional changes in an estuarine ?sh assemblage. Marine Pollution Bulletin 97:125–134.",2015,Fish,Fish,Distribution,Other,Salinity tolerance,Habitat,
"Batista J., Martinho F., Nyitrai D., Pardal M.A., Dolbeth M., 2015. Long-term functional changes in an estuarine ?sh assemblage. Marine Pollution Bulletin 97:125–134.",2015,Fish,Fish,Distribution,Other,Body transversal shape,Morph./Anat./Phys.,
"Batista J., Martinho F., Nyitrai D., Pardal M.A., Dolbeth M., 2015. Long-term functional changes in an estuarine ?sh assemblage. Marine Pollution Bulletin 97:125–134.",2015,Fish,Fish,Distribution,Other,Feeding guild,Trophy,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Longitudinal range,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Latitudinal range,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Range size,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Shelf area,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Productivity range,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Maximum salinity,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Minimum SST,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,Maximum SST,Habitat,
"Belmaker J., Parravicini V., Kulbicki M., 2013. Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean. Global Change Biology 19:1373–1382.",2013,Fish,Fish,Invasion,Other,SST range,Habitat,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Diel vertical migration,Behaviour,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Body length,Body size,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Spawning type,Egg/Prop. protection,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Vertical distribution,Habitat,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Feeding type,Trophy,
"Benedetti F., Gasparini S., Ayata S.D., 2015. Identifying copepod functional groups from species functional traits. Journal of Plankton Research doi:10.1093/plankt/fbv096.",2015,Zooplankton,Other,Life-history theory,Life-history theory,Trophic group,Trophy,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Mobility,Behaviour,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Size range,Body size,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Sediment position,Burrowing depth,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Larval development strategy,Early development,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Longevity,Life span,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Egg development location,Morph./Anat./Phys.,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Morphology,Morph./Anat./Phys.,
"Bolam S.G., Coggan R.C., Eggleton J., Diesing M., Stephens D., 2014. Sensitivity of macrobenthic secondary production to trawling in the English sector of the Greater North Sea: A biological trait approach. Journal of Sea Research 85:162–177.",2014,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Living habit,Motility,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Mobility,Behaviour,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Maximum size,Body size,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Sediment position,Burrowing depth,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Larval development location,Early development,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Bioturbation mode,Engineering,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Longevity,Life span,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Egg development location,Morph./Anat./Phys.,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Morphology,Morph./Anat./Phys.,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Living habit,Motility,
"Bolam S.G., Eggleton J.D., 2014. Macrofaunal production and biological traits: Spatial relationships along the UK continental shelf. Journal of Sea Research 88:47–58.",2014,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Feeding mode,Trophy,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Maximum size,Body size,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Sediment position,Burrowing depth,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Egg development,Early development,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Larval development,Egg/Prop. protection,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Bioturbation,Engineering,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Productivity (P:B),Growth rate,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Longevity,Life span,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Morphology,Morph./Anat./Phys.,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Living habit,Motility,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Mobility,Motility,
"Bolam S.G., McIlwaine P.S.O., Garcia C., 2016. Application of biological traits to further our understanding of the impacts of dredged material disposal on benthic assemblages. Marine Pollution Bulletin 105:180–192.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Feeding mode,Trophy,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Dispersal type ,Behaviour,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Mobility ,Behaviour,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Movement method ,Behaviour,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Mean size,Body size,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Environmental position,Burrowing depth,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Propagule dispersal range,Dispersal,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Larval type,Early development,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Reproductive frequency,Reprod. frequency,
"Boström C., Törnroos A., Bonsdorff E., 2010. Invertebrate dispersal and habitat heterogeneity: Expression of biological traits in a seagrass landscape. Journal of Experimental Marine Biology and Ecology 390:106–117.",2010,Benthic invertebrate,Benthic invertebrate,Environment,Environment,Feeding habit,Trophy,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,No or few predators,Biotic int./Sociability,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Large sized,Body size,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Perennial,Life span,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Functional form group,Morph./Anat./Phys.,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Without a resting stage,Resistance form,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Defence metabolites,Resistance form,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Sexual reproduction,Sexuality,
"Boudouresque C.F., Verlaque M., 2002. Biological pollution in the Mediterranean Sea: Invasive versus introduced macrophytes. Marine Pollution Bulletin 44:32–38.",2002,Macrophyte,Other,Invasion,Other,Vegetative multiplication,Sexuality,
"Brandl S.J., Bellwood D.R., 2014. Individual-based analyses reveal limited functional overlap in a coral reef fish community. Journal of Animal Ecology 83:661–670.",2014,Fish,Fish,FD,Other,Number of bites taken by an individual during a feeding foray,Behaviour,
"Brandl S.J., Bellwood D.R., 2014. Individual-based analyses reveal limited functional overlap in a coral reef fish community. Journal of Animal Ecology 83:661–670.",2014,Fish,Fish,FD,Other,Surface position,Behaviour,
"Brandl S.J., Bellwood D.R., 2014. Individual-based analyses reveal limited functional overlap in a coral reef fish community. Journal of Animal Ecology 83:661–670.",2014,Fish,Fish,FD,Other,Extent of snout or body penetration,Behaviour,
"Brandl S.J., Bellwood D.R., 2014. Individual-based analyses reveal limited functional overlap in a coral reef fish community. Journal of Animal Ecology 83:661–670.",2014,Fish,Fish,FD,Other,Substratum type,Habitat,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Water column migration,Behaviour,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Horizontal migration,Behaviour,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Mobility,Behaviour,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Intra-speci?c sociability,Biotic int./Sociability,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Maximum size,Body size,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Living location/environmental position,Burrowing depth,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Predictability of dynamics,Demography,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Recruitment variability/success,Demography,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Propagule dispersal,Early development,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Energy transfer ef?ciency,Engineering,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Biogenic habitat provision,Engineering,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Scale of habitat provision,Engineering,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Fecundity,Fecundity,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Maximum growth rate,Growth rate,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Longevity,Life span,
"Bremner J., 2008. Species' traits and ecological functioning in marine conservation and management. Journal of Experimental Marine Biology and Ecology 366:37–47.",2008,Benthic invertebrate,Benthic invertebrate,Environment and pressure,Environment and pressure,Body design,Morph./Anat./Phys.,
